team_a,team_b,result,match_date
UD Lomba,Freixo de Baixo,2-0,2016/02/20
ADRC Estradinha,Mancelos FC,1-0,2016/02/20
ACR Gatão,ARCA (Amarante),2-0,2016/02/20
ACD Madalena,Sanche FC,1-3,2016/02/20
GD Cepelos,Padronelo,4-1,2016/02/20
Gondar,AD Lufrei,2-3,2016/02/20
Mancelos FC,UD Lomba,4-1,2016/02/28
Freixo de Baixo,Malteses,1-1,2016/02/28
ARCA (Amarante),ADRC Estradinha,0-4,2016/02/28
Sanche FC,ACR Gatão,1-3,2016/02/28
Padronelo,ACD Madalena,0-1,2016/02/28
AD Lufrei,GD Cepelos,2-1,2016/02/28
UD Lomba,ARCA (Amarante),3-2,2016/03/05
Malteses,Mancelos FC,0-2,2016/03/05
ADRC Estradinha,Sanche FC,2-1,2016/03/05
ACR Gatão,Padronelo,2-2,2016/03/05
ACD Madalena,AD Lufrei,2-3,2016/03/05
GD Cepelos,Gondar,6-2,2016/03/05
ARCA (Amarante),Malteses,3-3,2016/03/12
Mancelos FC,Freixo de Baixo,1-1,2016/03/12
Sanche FC,UD Lomba,2-1,2016/03/12
Padronelo,ADRC Estradinha,1-3,2016/03/12
AD Lufrei,ACR Gatão,0-1,2016/03/12
Gondar,ACD Madalena,2-1,2016/03/12
ACD Madalena,GD Cepelos,0-1,2016/03/19
UD Lomba,Padronelo,3-9,2016/03/19
Freixo de Baixo,ARCA (Amarante),1-0,2016/03/19
Malteses,Sanche FC,1-1,2016/03/19
ADRC Estradinha,AD Lufrei,1-0,2016/03/19
ACR Gatão,Gondar,2-3,2016/03/19
AD Lufrei,UD Lomba,2-1,2015/12/20
ARCA (Amarante),Mancelos FC,3-1,2015/12/20
Sanche FC,Freixo de Baixo,1-1,2015/12/20
Padronelo,Malteses,3-0,2015/12/20
Gondar,ADRC Estradinha,2-5,2015/12/20
GD Cepelos,ACR Gatão,1-3,2015/12/20
UD Lomba,Gondar,0-0,2016/04/09
Mancelos FC,Sanche FC,2-4,2016/04/09
Freixo de Baixo,Padronelo,2-1,2016/04/09
Malteses,AD Lufrei,2-3,2016/04/09
ADRC Estradinha,GD Cepelos,1-1,2016/04/09
ACR Gatão,ACD Madalena,2-2,2016/04/09
Padronelo,Mancelos FC,0-1,2016/04/17
Sanche FC,ARCA (Amarante),0-3,2016/04/17
AD Lufrei,Freixo de Baixo,1-0,2016/04/17
Gondar,Malteses,1-1,2016/04/17
GD Cepelos,UD Lomba,6-3,2016/04/17
ACD Madalena,ADRC Estradinha,2-2,2016/04/17
Mancelos FC,AD Lufrei,0-2,2016/04/30
ARCA (Amarante),Padronelo,1-0,2016/04/30
Freixo de Baixo,Gondar,2-1,2016/04/30
Malteses,GD Cepelos,2-4,2016/04/30
UD Lomba,ACD Madalena,1-0,2016/04/30
ADRC Estradinha,ACR Gatão,4-2,2016/04/30
AD Lufrei,ARCA (Amarante),2-1,2016/05/07
Padronelo,Sanche FC,3-1,2016/05/07
Gondar,Mancelos FC,3-3,2016/05/07
GD Cepelos,Freixo de Baixo,0-0,2016/05/07
ACD Madalena,Malteses,1-1,2016/05/07
ACR Gatão,UD Lomba,3-3,2016/05/07
ARCA (Amarante),Gondar,2-1,2016/05/14
Sanche FC,AD Lufrei,4-3,2016/05/14
Mancelos FC,GD Cepelos,1-0,2016/05/14
Freixo de Baixo,ACD Madalena,2-0,2016/05/14
Malteses,ACR Gatão,0-2,2016/05/14
UD Lomba,ADRC Estradinha,1-3,2016/05/14
