team_a,team_b,result,match_date
Freixo de Baixo,ACR Gatão,1-3,2015/10/31
Malteses,ADRC Estradinha,1-3,2015/10/31
Mancelos FC,ACD Madalena,2-1,2015/10/31
ARCA (Amarante),GD Cepelos,1-2,2015/10/31
Sanche FC,Gondar,2-7,2015/10/31
Padronelo,AD Lufrei,2-2,2015/10/31
ADRC Estradinha,Freixo de Baixo,3-0,2015/11/07
UD Lomba,Malteses,1-0,2015/11/07
ACR Gatão,Mancelos FC,2-2,2015/11/07
ACD Madalena,ARCA (Amarante),4-3,2015/11/07
GD Cepelos,Sanche FC,5-0,2015/11/07
Gondar,Padronelo,0-1,2015/11/07
Mancelos FC,ADRC Estradinha,1-1,2015/11/14
Freixo de Baixo,UD Lomba,2-1,2015/11/14
ARCA (Amarante),ACR Gatão,2-1,2015/11/14
Sanche FC,ACD Madalena,2-7,2015/11/14
Padronelo,GD Cepelos,2-0,2015/11/14
AD Lufrei,Gondar,0-3,2015/11/14
UD Lomba,Mancelos FC,1-0,2015/11/21
Malteses,Freixo de Baixo,3-0,2015/11/21
ADRC Estradinha,ARCA (Amarante),1-1,2015/11/21
ACR Gatão,Sanche FC,2-1,2015/11/21
ACD Madalena,Padronelo,2-0,2015/11/21
GD Cepelos,AD Lufrei,1-0,2015/11/21
ARCA (Amarante),UD Lomba,2-1,2015/11/28
Mancelos FC,Malteses,0-0,2015/11/28
Sanche FC,ADRC Estradinha,2-3,2015/11/28
Padronelo,ACR Gatão,3-4,2015/11/28
AD Lufrei,ACD Madalena,2-0,2015/11/28
Gondar,GD Cepelos,2-2,2015/11/28
Malteses,ARCA (Amarante),0-0,2015/12/05
Freixo de Baixo,Mancelos FC,1-1,2015/12/05
UD Lomba,Sanche FC,1-0,2015/12/05
ADRC Estradinha,Padronelo,1-0,2015/12/05
ACR Gatão,AD Lufrei,3-0,2015/12/05
ACD Madalena,Gondar,1-1,2015/12/05
Sanche FC,Malteses,2-3,2015/12/12
ARCA (Amarante),Freixo de Baixo,1-1,2015/12/12
AD Lufrei,ADRC Estradinha,2-2,2015/12/12
Gondar,ACR Gatão,0-1,2015/12/12
GD Cepelos,ACD Madalena,2-0,2015/12/12
Padronelo,UD Lomba,3-2,2015/12/12
ADRC Estradinha,Gondar,3-2,2015/12/19
Mancelos FC,ARCA (Amarante),1-0,2015/12/19
Freixo de Baixo,Sanche FC,2-1,2015/12/19
Malteses,Padronelo,3-2,2015/12/19
ACR Gatão,GD Cepelos,2-2,2015/12/19
UD Lomba,AD Lufrei,1-3,2015/12/19
Padronelo,Freixo de Baixo,2-2,2015/12/26
Sanche FC,Mancelos FC,2-2,2015/12/26
AD Lufrei,Malteses,1-0,2015/12/26
Gondar,UD Lomba,0-2,2015/12/26
GD Cepelos,ADRC Estradinha,1-1,2015/12/26
ACD Madalena,ACR Gatão,0-1,2015/12/26
Mancelos FC,Padronelo,4-2,2016/01/02
ARCA (Amarante),Sanche FC,6-4,2016/01/02
Freixo de Baixo,AD Lufrei,0-1,2016/01/02
Malteses,Gondar,1-3,2016/01/02
UD Lomba,GD Cepelos,0-2,2016/01/02
ADRC Estradinha,ACD Madalena,4-3,2016/01/02
Gondar,Freixo de Baixo,3-1,2016/01/10
AD Lufrei,Mancelos FC,3-0,2016/01/10
GD Cepelos,Malteses,3-0,2016/01/10
ACD Madalena,UD Lomba,1-0,2016/01/10
ACR Gatão,ADRC Estradinha,1-1,2016/01/10
Padronelo,ARCA (Amarante),1-0,2016/01/10
ARCA (Amarante),AD Lufrei,0-2,2016/01/23
Sanche FC,Padronelo,0-2,2016/01/23
Mancelos FC,Gondar,1-1,2016/01/23
Freixo de Baixo,GD Cepelos,1-2,2016/01/23
Malteses,ACD Madalena,1-1,2016/01/23
UD Lomba,ACR Gatão,0-0,2016/01/23
Gondar,ARCA (Amarante),4-1,2016/01/31
AD Lufrei,Sanche FC,1-0,2016/01/31
GD Cepelos,Mancelos FC,3-0,2016/01/31
ACD Madalena,Freixo de Baixo,1-1,2016/01/31
ACR Gatão,Malteses,2-0,2016/01/31
ADRC Estradinha,UD Lomba,8-4,2016/01/31
ACR Gatão,Freixo de Baixo,5-2,2016/02/06
ADRC Estradinha,Malteses,3-2,2016/02/06
ACD Madalena,Mancelos FC,2-3,2016/02/06
GD Cepelos,ARCA (Amarante),1-1,2016/02/06
Gondar,Sanche FC,7-2,2016/02/06
AD Lufrei,Padronelo,1-0,2016/02/06
Freixo de Baixo,ADRC Estradinha,1-2,2016/02/13
Malteses,UD Lomba,0-1,2016/02/13
Mancelos FC,ACR Gatão,1-5,2016/02/13
ARCA (Amarante),ACD Madalena,3-3,2016/02/13
Sanche FC,GD Cepelos,3-2,2016/02/13
Padronelo,Gondar,2-1,2016/02/13
