teamA,teamB,result,matchDate
ARCA (Amarante),GCDR Estrelas da Paz,2-1,2018/10/20
ACD Madalena,Padronelo,2-1,2018/10/20
UCD Moure,Mancelos FC,4-2,2018/10/20
AD Lufrei,Fridão,1-1,2018/10/20
Gondar,Freixo de Baixo,1-3,2018/10/20
ACR Gatão,GD Cepelos,2-1,2018/10/20
Padronelo,ARCA (Amarante),4-0,2018/10/27
ADRC Estradinha,ACD Madalena,6-2,2018/10/27
GCDR Estrelas da Paz,UCD Moure,3-1,2018/10/27
Mancelos FC,AD Lufrei,0-0,2018/10/27
Fridão,Gondar,1-2,2018/10/27
Freixo de Baixo,ACR Gatão,1-0,2018/10/27
UCD Moure,Padronelo,0-2,2018/11/04
ARCA (Amarante),ADRC Estradinha,1-2,2018/11/04
AD Lufrei,GCDR Estrelas da Paz,2-0,2018/11/04
Gondar,Mancelos FC,2-0,2018/11/04
ACR Gatão,Fridão,2-1,2018/11/04
GD Cepelos,Freixo de Baixo,0-1,2018/11/04
ADRC Estradinha,UCD Moure,2-1,2018/11/10
ACD Madalena,ARCA (Amarante),1-2,2018/11/10
Padronelo,AD Lufrei,2-1,2018/11/10
GCDR Estrelas da Paz,Gondar,3-3,2018/11/10
Mancelos FC,ACR Gatão,2-4,2018/11/10
Fridão,GD Cepelos,1-5,2018/11/10
AD Lufrei,ADRC Estradinha,1-1,2018/11/17
UCD Moure,ACD Madalena,1-0,2018/11/17
Gondar,Padronelo,0-1,2018/11/17
ACR Gatão,GCDR Estrelas da Paz,1-2,2018/11/17
GD Cepelos,Mancelos FC,0-1,2018/11/17
Freixo de Baixo,Fridão,7-0,2018/11/17
ADRC Estradinha,Gondar,5-0,2018/11/24
ARCA (Amarante),UCD Moure,1-0,2018/11/24
Padronelo,ACR Gatão,1-1,2018/11/24
GCDR Estrelas da Paz,GD Cepelos,2-2,2018/11/24
Mancelos FC,Freixo de Baixo,1-1,2018/11/24
ACD Madalena,AD Lufrei,2-1,2018/11/24
Gondar,ACD Madalena,3-2,2018/12/21
AD Lufrei,ARCA (Amarante),0-2,2018/12/21
ACR Gatão,ADRC Estradinha,1-0,2018/12/21
GD Cepelos,Padronelo,1-2,2018/12/21
Freixo de Baixo,GCDR Estrelas da Paz,3-1,2018/12/21
Fridão,Mancelos FC,3-2,2018/12/21
ADRC Estradinha,GD Cepelos,0-2,2018/12/29
UCD Moure,AD Lufrei,3-1,2018/12/29
ARCA (Amarante),Gondar,2-1,2018/12/29
ACD Madalena,ACR Gatão,0-1,2018/12/29
Padronelo,Freixo de Baixo,1-2,2018/12/29
GCDR Estrelas da Paz,Fridão,5-3,2018/12/29
ACR Gatão,ARCA (Amarante),3-0,2019/01/05
Gondar,UCD Moure,3-3,2019/01/05
GD Cepelos,ACD Madalena,1-2,2019/01/05
Freixo de Baixo,ADRC Estradinha,1-1,2019/01/05
Fridão,Padronelo,2-0,2019/01/05
Mancelos FC,GCDR Estrelas da Paz,0-0,2019/01/05
UCD Moure,ACR Gatão,2-1,2019/01/12
AD Lufrei,Gondar,5-3,2019/01/12
ARCA (Amarante),GD Cepelos,1-2,2019/01/12
ACD Madalena,Freixo de Baixo,0-2,2019/01/12
ADRC Estradinha,Fridão,3-1,2019/01/12
Padronelo,Mancelos FC,2-1,2019/01/12
GD Cepelos,UCD Moure,2-2,2019/01/20
ACR Gatão,AD Lufrei,1-1,2019/01/20
Freixo de Baixo,ARCA (Amarante),2-1,2019/01/20
Fridão,ACD Madalena,1-1,2019/01/20
Mancelos FC,ADRC Estradinha,4-0,2019/01/20
GCDR Estrelas da Paz,Padronelo,0-3,2019/01/20
AD Lufrei,GD Cepelos,1-2,2019/02/03
Gondar,ACR Gatão,1-1,2019/02/03
UCD Moure,Freixo de Baixo,0-3,2019/02/03
ARCA (Amarante),Fridão,2-1,2019/02/03
ACD Madalena,Mancelos FC,3-0,2019/02/03
ADRC Estradinha,GCDR Estrelas da Paz,1-2,2019/02/03
Freixo de Baixo,AD Lufrei,3-2,2019/02/09
GD Cepelos,Gondar,3-2,2019/02/09
Fridão,UCD Moure,2-4,2019/02/09
Mancelos FC,ARCA (Amarante),1-1,2019/02/09
GCDR Estrelas da Paz,ACD Madalena,0-1,2019/02/09
Padronelo,ADRC Estradinha,2-0,2019/02/09
GCDR Estrelas da Paz,ARCA (Amarante),1-1,2019/02/22
Padronelo,ACD Madalena,3-1,2019/02/22
Mancelos FC,UCD Moure,1-3,2019/02/22
Fridão,AD Lufrei,3-3,2019/02/22
Freixo de Baixo,Gondar,1-0,2019/02/22
GD Cepelos,ACR Gatão,1-1,2019/02/22
ARCA (Amarante),Padronelo,1-4,2019/03/03
ACD Madalena,ADRC Estradinha,2-1,2019/03/03
UCD Moure,GCDR Estrelas da Paz,1-0,2019/03/03
AD Lufrei,Mancelos FC,4-4,2019/03/03
Gondar,Fridão,5-1,2019/03/03
ACR Gatão,Freixo de Baixo,2-1,2019/03/03
Padronelo,UCD Moure,1-0,2019/03/10
ADRC Estradinha,ARCA (Amarante),0-1,2019/03/10
GCDR Estrelas da Paz,AD Lufrei,3-0,2019/03/10
Mancelos FC,Gondar,3-1,2019/03/10
Fridão,ACR Gatão,3-1,2019/03/10
Freixo de Baixo,GD Cepelos,2-1,2019/03/10
UCD Moure,ADRC Estradinha,2-2,2019/03/16
ARCA (Amarante),ACD Madalena,0-0,2019/03/16
AD Lufrei,Padronelo,4-2,2019/03/16
Gondar,GCDR Estrelas da Paz,2-2,2019/03/16
ACR Gatão,Mancelos FC,3-3,2019/03/16
GD Cepelos,Fridão,2-0,2019/03/16
ADRC Estradinha,AD Lufrei,0-0,2019/03/23
ACD Madalena,UCD Moure,0-2,2019/03/23
Padronelo,Gondar,1-1,2019/03/23
GCDR Estrelas da Paz,ACR Gatão,2-0,2019/03/23
Mancelos FC,GD Cepelos,2-0,2019/03/23
Fridão,Freixo de Baixo,1-3,2019/03/23
AD Lufrei,ACD Madalena,2-1,2019/03/31
UCD Moure,ARCA (Amarante),2-0,2019/03/31
Gondar,ADRC Estradinha,2-3,2019/03/31
ACR Gatão,Padronelo,4-4,2019/03/31
GD Cepelos,GCDR Estrelas da Paz,3-3,2019/03/31
Freixo de Baixo,Mancelos FC,2-0,2019/03/31
ACD Madalena,Gondar,6-3,2019/04/07
ARCA (Amarante),AD Lufrei,1-3,2019/04/07
ADRC Estradinha,ACR Gatão,0-0,2019/04/07
Padronelo,GD Cepelos,1-2,2019/04/07
GCDR Estrelas da Paz,Freixo de Baixo,2-1,2019/04/07
Mancelos FC,Fridão,5-0,2019/04/07
Gondar,ARCA (Amarante),3-2,2019/04/13
AD Lufrei,UCD Moure,3-2,2019/04/13
ACR Gatão,ACD Madalena,1-3,2019/04/13
GD Cepelos,ADRC Estradinha,2-0,2019/04/13
Freixo de Baixo,Padronelo,2-2,2019/04/13
Fridão,GCDR Estrelas da Paz,1-4,2019/04/13
ARCA (Amarante),ACR Gatão,2-4,2019/04/27
UCD Moure,Gondar,2-1,2019/04/27
ACD Madalena,GD Cepelos,0-0,2019/04/27
ADRC Estradinha,Freixo de Baixo,0-4,2019/04/27
Padronelo,Fridão,2-1,2019/04/27
GCDR Estrelas da Paz,Mancelos FC,2-3,2019/04/27
ACR Gatão,UCD Moure,3-3,2019/05/05
Gondar,AD Lufrei,1-3,2019/05/05
GD Cepelos,ARCA (Amarante),2-1,2019/05/05
Freixo de Baixo,ACD Madalena,1-1,2019/05/05
Fridão,ADRC Estradinha,2-4,2019/05/05
Mancelos FC,Padronelo,1-1,2019/05/05
UCD Moure,GD Cepelos,2-5,2019/05/12
AD Lufrei,ACR Gatão,2-1,2019/05/12
ARCA (Amarante),Freixo de Baixo,1-1,2019/05/12
ACD Madalena,Fridão,3-2,2019/05/12
ADRC Estradinha,Mancelos FC,0-1,2019/05/12
Padronelo,GCDR Estrelas da Paz,2-2,2019/05/12
GD Cepelos,AD Lufrei,4-1,2019/05/18
ACR Gatão,Gondar,1-0,2019/05/18
Freixo de Baixo,UCD Moure,0-0,2019/05/18
Fridão,ARCA (Amarante),0-3,2019/05/18
Mancelos FC,ACD Madalena,3-2,2019/05/18
GCDR Estrelas da Paz,ADRC Estradinha,4-1,2019/05/18
AD Lufrei,Freixo de Baixo,3-4,2019/06/08
Gondar,GD Cepelos,3-5,2019/06/08
UCD Moure,Fridão,7-3,2019/06/08
ARCA (Amarante),Mancelos FC,1-1,2019/06/08
ACD Madalena,GCDR Estrelas da Paz,4-0,2019/06/08
ADRC Estradinha,Padronelo,2-1,2019/06/08
