teamA,teamB,result,matchDate
Mancelos FC,ARCA (Amarante),2-1,2023/10/07
GD Cepelos,UCD Moure,1-0,2023/10/07
Gondar,ACR Gatão,2-2,2023/10/07
GDR Travanca,ACD Telões,4-0,2023/10/07
ADRC Estradinha,Freixo de Baixo,0-0,2023/10/07
Padronelo,GCDR Estrelas da Paz,4-0,2023/10/07
UCD Moure,Mancelos FC,1-1,2023/10/14
AD Lufrei,GD Cepelos,1-0,2023/10/14
ARCA (Amarante),Gondar,2-4,2023/10/14
ACR Gatão,GDR Travanca,1-2,2023/10/14
ACD Telões,ADRC Estradinha,2-0,2023/10/14
Freixo de Baixo,Padronelo,1-2,2023/10/14
Gondar,UCD Moure,5-1,2023/10/22
Mancelos FC,AD Lufrei,2-1,2023/10/22
GDR Travanca,ARCA (Amarante),2-2,2023/10/22
ADRC Estradinha,ACR Gatão,1-0,2023/10/22
Padronelo,ACD Telões,2-2,2023/10/22
GCDR Estrelas da Paz,Freixo de Baixo,2-2,2023/10/22
AD Lufrei,Gondar,1-2,2023/11/05
GD Cepelos,Mancelos FC,1-1,2023/11/05
UCD Moure,GDR Travanca,1-2,2023/11/05
ARCA (Amarante),ADRC Estradinha,2-2,2023/11/05
ACR Gatão,Padronelo,3-1,2023/11/05
ACD Telões,GCDR Estrelas da Paz,1-2,2023/11/05
ADRC Estradinha,UCD Moure,3-0,2023/11/11
Gondar,GD Cepelos,0-1,2023/11/11
Padronelo,ARCA (Amarante),4-2,2023/11/11
GCDR Estrelas da Paz,ACR Gatão,1-3,2023/11/11
Freixo de Baixo,ACD Telões,2-1,2023/11/11
GDR Travanca,AD Lufrei,9-0,2023/11/11
GD Cepelos,GDR Travanca,1-2,2023/11/18
Mancelos FC,Gondar,3-3,2023/11/18
AD Lufrei,ADRC Estradinha,1-2,2023/11/18
UCD Moure,Padronelo,4-1,2023/11/18
ARCA (Amarante),GCDR Estrelas da Paz,1-0,2023/11/18
ACR Gatão,Freixo de Baixo,3-1,2023/11/18
ADRC Estradinha,GD Cepelos,2-0,2023/11/26
GDR Travanca,Mancelos FC,2-0,2023/11/26
Padronelo,AD Lufrei,0-0,2023/11/26
GCDR Estrelas da Paz,UCD Moure,1-0,2023/11/26
Freixo de Baixo,ARCA (Amarante),1-1,2023/11/26
ACD Telões,ACR Gatão,0-1,2023/11/26
Mancelos FC,ADRC Estradinha,0-3,2023/12/03
