teamA,teamB,result,matchDate
Gondar,GDR Travanca,1-0,2023/12/03
GD Cepelos,Padronelo,1-3,2023/12/03
AD Lufrei,GCDR Estrelas da Paz,0-0,2023/12/03
UCD Moure,Freixo de Baixo,0-1,2023/12/03
ARCA (Amarante),ACD Telões,1-1,2023/12/03
Padronelo,Mancelos FC,0-4,2023/12/16
ADRC Estradinha,Gondar,2-1,2023/12/16
GCDR Estrelas da Paz,GD Cepelos,2-1,2023/12/16
Freixo de Baixo,AD Lufrei,2-0,2023/12/16
ACD Telões,UCD Moure,1-1,2023/12/16
ACR Gatão,ARCA (Amarante),3-1,2023/12/16
Gondar,Padronelo,0-1,2023/12/23
GDR Travanca,ADRC Estradinha,3-1,2023/12/23
Mancelos FC,GCDR Estrelas da Paz,2-2,2023/12/23
GD Cepelos,Freixo de Baixo,1-3,2023/12/23
AD Lufrei,ACD Telões,3-1,2023/12/23
UCD Moure,ACR Gatão,1-3,2023/12/23
Freixo de Baixo,Mancelos FC,3-3,2024/01/07
GCDR Estrelas da Paz,Gondar,1-0,2024/01/07
ACD Telões,GD Cepelos,1-3,2024/01/07
ACR Gatão,AD Lufrei,2-0,2024/01/07
ARCA (Amarante),UCD Moure,1-1,2024/01/07
Padronelo,GDR Travanca,4-1,2024/01/07
GDR Travanca,GCDR Estrelas da Paz,3-3,2024/01/14
ADRC Estradinha,Padronelo,2-2,2024/01/14
Gondar,Freixo de Baixo,5-1,2024/01/14
Mancelos FC,ACD Telões,3-2,2024/01/14
GD Cepelos,ACR Gatão,4-2,2024/01/14
AD Lufrei,ARCA (Amarante),1-2,2024/01/14
Freixo de Baixo,GDR Travanca,1-1,2024/01/20
GCDR Estrelas da Paz,ADRC Estradinha,2-2,2024/01/20
ACD Telões,Gondar,0-3,2024/01/20
ACR Gatão,Mancelos FC,2-1,2024/01/20
ARCA (Amarante),GD Cepelos,1-0,2024/01/20
UCD Moure,AD Lufrei,3-2,2024/01/20
ARCA (Amarante),Mancelos FC,0-1,2024/02/03
UCD Moure,GD Cepelos,0-2,2024/02/03
ACR Gatão,Gondar,1-0,2024/02/03
ACD Telões,GDR Travanca,1-0,2024/02/03
Freixo de Baixo,ADRC Estradinha,1-0,2024/02/03
GCDR Estrelas da Paz,Padronelo,0-2,2024/02/03
Mancelos FC,UCD Moure,3-2,2024/02/10
GD Cepelos,AD Lufrei,2-1,2024/02/10
Gondar,ARCA (Amarante),4-2,2024/02/10
GDR Travanca,ACR Gatão,1-1,2024/02/10
Padronelo,Freixo de Baixo,1-1,2024/02/10
ADRC Estradinha,ACD Telões,4-0,2024/02/10
ACD Telões,ARCA (Amarante),1-1,2024/02/10
UCD Moure,Gondar,1-2,2024/02/18
AD Lufrei,Mancelos FC,0-3,2024/02/18
ARCA (Amarante),GDR Travanca,0-2,2024/02/18
ACR Gatão,ADRC Estradinha,4-1,2024/02/18
ACD Telões,Padronelo,0-0,2024/02/18
Freixo de Baixo,GCDR Estrelas da Paz,2-1,2024/02/18
Gondar,AD Lufrei,2-1,2024/02/25
Mancelos FC,GD Cepelos,3-1,2024/02/25
GDR Travanca,UCD Moure,2-2,2024/02/25
ADRC Estradinha,ARCA (Amarante),0-0,2024/02/25
Padronelo,ACR Gatão,1-0,2024/02/25
GCDR Estrelas da Paz,ACD Telões,2-2,2024/02/25
AD Lufrei,GDR Travanca,0-5,2024/03/09
GD Cepelos,Gondar,3-4,2024/03/09
UCD Moure,ADRC Estradinha,4-3,2024/03/09
ARCA (Amarante),Padronelo,4-3,2024/03/09
ACR Gatão,GCDR Estrelas da Paz,4-1,2024/03/09
ACD Telões,Freixo de Baixo,2-1,2024/03/09
GDR Travanca,GD Cepelos,1-1,2024/03/16
Gondar,Mancelos FC,0-2,2024/03/16
ADRC Estradinha,AD Lufrei,3-0,2024/03/16
Padronelo,UCD Moure,2-1,2024/03/16
GCDR Estrelas da Paz,ARCA (Amarante),0-1,2024/03/16
Freixo de Baixo,ACR Gatão,0-0,2024/03/16
GD Cepelos,ADRC Estradinha,1-1,2024/03/24
Mancelos FC,GDR Travanca,3-1,2024/03/24
AD Lufrei,Padronelo,0-4,2024/03/24
UCD Moure,GCDR Estrelas da Paz,3-1,2024/03/24
ARCA (Amarante),Freixo de Baixo,1-0,2024/03/24
ACR Gatão,ACD Telões,2-0,2024/03/24
GDR Travanca,Gondar,2-2,2024/04/07
ADRC Estradinha,Mancelos FC,1-0,2024/04/07
Padronelo,GD Cepelos,2-1,2024/04/07
GCDR Estrelas da Paz,AD Lufrei,1-1,2024/04/07
Freixo de Baixo,UCD Moure,1-1,2024/04/07
Mancelos FC,Padronelo,0-3,2024/04/13
Gondar,ADRC Estradinha,1-1,2024/04/13
GD Cepelos,GCDR Estrelas da Paz,1-1,2024/04/13
AD Lufrei,Freixo de Baixo,2-4,2024/04/13
UCD Moure,ACD Telões,0-2,2024/04/13
ARCA (Amarante),ACR Gatão,1-2,2024/04/13
Padronelo,Gondar,2-1,2024/04/20
ADRC Estradinha,GDR Travanca,0-1,2024/04/20
GCDR Estrelas da Paz,Mancelos FC,3-2,2024/04/20
Freixo de Baixo,GD Cepelos,4-2,2024/04/20
ACD Telões,AD Lufrei,2-1,2024/04/20
ACR Gatão,UCD Moure,2-0,2024/04/20
Gondar,GCDR Estrelas da Paz,0-1,2024/04/28
GDR Travanca,Padronelo,1-1,2024/04/28
Mancelos FC,Freixo de Baixo,1-2,2024/04/28
GD Cepelos,ACD Telões,2-1,2024/04/28
AD Lufrei,ACR Gatão,0-4,2024/04/28
UCD Moure,ARCA (Amarante),2-1,2024/04/28
GCDR Estrelas da Paz,GDR Travanca,0-4,2024/05/05
Padronelo,ADRC Estradinha,2-3,2024/05/05
Freixo de Baixo,Gondar,3-3,2024/05/05
ACD Telões,Mancelos FC,4-3,2024/05/05
ACR Gatão,GD Cepelos,4-2,2024/05/05
ARCA (Amarante),AD Lufrei,5-1,2024/05/05
GDR Travanca,Freixo de Baixo,3-0,2024/05/18
ADRC Estradinha,GCDR Estrelas da Paz,1-0,2024/05/18
Gondar,ACD Telões,4-0,2024/05/18
Mancelos FC,ACR Gatão,4-2,2024/05/18
GD Cepelos,ARCA (Amarante),2-0,2024/05/18
AD Lufrei,UCD Moure,1-1,2024/05/18
