team_a,team_b,result,match_date
Freixo de Baixo,Gondar,2-1,202013/2/10/26
Malteses,GCDR Estrelas da Paz,1-0,202013/2/10/26
ACR Gatão,Padronelo,1-3,202013/2/10/26
AD Lufrei,ADRC Estradinha,3-1,202013/2/10/26
ARCA (Amarante),GD Cepelos,3-0,202013/2/10/26
Mancelos FC,ACD Madalena,1-1,202013/2/10/26
GCDR Estrelas da Paz,ARCA (Amarante),0-2,202013/2/11/02
UD Lomba,Malteses,2-1,202013/2/11/02
GD Cepelos,Freixo de Baixo,5-0,202013/2/11/02
Gondar,ACR Gatão,3-1,202013/2/11/02
Padronelo,Mancelos FC,2-0,202013/2/11/02
ACD Madalena,AD Lufrei,0-0,202013/2/11/02
Freixo de Baixo,GCDR Estrelas da Paz,2-1,202013/2/11/10
ARCA (Amarante),UD Lomba,2-1,202013/2/11/10
ACR Gatão,GD Cepelos,4-1,202013/2/11/10
Mancelos FC,Gondar,1-4,202013/2/11/10
AD Lufrei,Padronelo,4-1,202013/2/11/10
ADRC Estradinha,ACD Madalena,3-1,202013/2/11/10
UD Lomba,Freixo de Baixo,2-1,202013/2/11/16
Malteses,ARCA (Amarante),0-1,202013/2/11/16
GCDR Estrelas da Paz,ACR Gatão,1-3,202013/2/11/16
GD Cepelos,Mancelos FC,1-1,202013/2/11/16
Gondar,AD Lufrei,2-2,202013/2/11/16
Padronelo,ADRC Estradinha,2-1,202013/2/11/16
ACR Gatão,UD Lomba,1-1,202013/2/11/23
Freixo de Baixo,Malteses,0-1,202013/2/11/23
Mancelos FC,GCDR Estrelas da Paz,1-2,202013/2/11/23
AD Lufrei,GD Cepelos,3-2,202013/2/11/23
ADRC Estradinha,Gondar,2-1,202013/2/11/23
ACD Madalena,Padronelo,1-1,202013/2/11/23
Malteses,ACR Gatão,0-2,202013/2/11/30
ARCA (Amarante),Freixo de Baixo,3-1,202013/2/11/30
UD Lomba,Mancelos FC,2-0,202013/2/11/30
GCDR Estrelas da Paz,AD Lufrei,0-2,202013/2/11/30
GD Cepelos,ADRC Estradinha,2-0,202013/2/11/30
Gondar,ACD Madalena,1-4,202013/2/11/30
Mancelos FC,Malteses,1-2,202013/2/12/08
ACR Gatão,ARCA (Amarante),3-0,202013/2/12/08
AD Lufrei,UD Lomba,3-0,202013/2/12/08
ADRC Estradinha,GCDR Estrelas da Paz,3-2,202013/2/12/08
ACD Madalena,GD Cepelos,0-1,202013/2/12/08
Padronelo,Gondar,2-0,202013/2/12/08
UD Lomba,ADRC Estradinha,0-0,202013/2/12/14
Freixo de Baixo,ACR Gatão,1-1,202013/2/12/14
ARCA (Amarante),Mancelos FC,2-1,202013/2/12/14
Malteses,AD Lufrei,0-1,202013/2/12/14
GCDR Estrelas da Paz,ACD Madalena,1-1,202013/2/12/14
GD Cepelos,Padronelo,0-1,202013/2/12/14
AD Lufrei,ARCA (Amarante),1-0,202013/2/12/21
Mancelos FC,Freixo de Baixo,1-0,202013/2/12/21
ADRC Estradinha,Malteses,5-1,202013/2/12/21
ACD Madalena,UD Lomba,3-2,202013/2/12/21
Padronelo,GCDR Estrelas da Paz,3-1,202013/2/12/21
Gondar,GD Cepelos,0-3,202013/2/12/21
Freixo de Baixo,AD Lufrei,0-1,2014/01/04
ACR Gatão,Mancelos FC,1-1,2014/01/04
ARCA (Amarante),ADRC Estradinha,1-1,2014/01/04
Malteses,ACD Madalena,2-2,2014/01/04
UD Lomba,Padronelo,0-4,2014/01/04
GCDR Estrelas da Paz,Gondar,3-6,2014/01/04
Gondar,UD Lomba,7-3,2014/01/11
AD Lufrei,ACR Gatão,6-5,2014/01/11
ADRC Estradinha,Freixo de Baixo,1-1,2014/01/11
ACD Madalena,ARCA (Amarante),4-1,2014/01/11
Padronelo,Malteses,3-0,2014/01/11
GD Cepelos,GCDR Estrelas da Paz,4-0,2014/01/11
UD Lomba,GD Cepelos,2-2,2014/01/18
Mancelos FC,AD Lufrei,2-2,2014/01/18
ACR Gatão,ADRC Estradinha,1-2,2014/01/18
Freixo de Baixo,ACD Madalena,4-4,2014/01/18
ARCA (Amarante),Padronelo,0-1,2014/01/18
Malteses,Gondar,1-1,2014/01/18
ACD Madalena,ACR Gatão,3-2,2014/01/25
ADRC Estradinha,Mancelos FC,1-1,2014/01/25
Padronelo,Freixo de Baixo,5-1,2014/01/25
Gondar,ARCA (Amarante),2-4,2014/01/25
GD Cepelos,Malteses,4-2,2014/01/25
GCDR Estrelas da Paz,UD Lomba,3-0,2014/01/25
GD Cepelos,ARCA (Amarante),1-0,2014/02/08
GCDR Estrelas da Paz,Malteses,1-3,2014/02/08
Gondar,Freixo de Baixo,2-3,2014/02/08
Padronelo,ACR Gatão,1-0,2014/02/08
ACD Madalena,Mancelos FC,3-0,2014/02/08
ADRC Estradinha,AD Lufrei,1-1,2014/02/08
ARCA (Amarante),GCDR Estrelas da Paz,0-0,2014/02/16
Malteses,UD Lomba,2-0,2014/02/16
Freixo de Baixo,GD Cepelos,1-1,2014/02/16
ACR Gatão,Gondar,1-1,2014/02/16
Mancelos FC,Padronelo,0-1,2014/02/16
AD Lufrei,ACD Madalena,2-0,2014/02/16
Gondar,Mancelos FC,2-1,2014/02/23
GCDR Estrelas da Paz,Freixo de Baixo,2-4,2014/02/23
Padronelo,AD Lufrei,1-1,2014/02/23
ACD Madalena,ADRC Estradinha,1-3,2014/02/23
UD Lomba,ARCA (Amarante),1-2,2014/02/23
GD Cepelos,ACR Gatão,3-1,2014/02/23
Freixo de Baixo,UD Lomba,4-2,2014/03/01
ARCA (Amarante),Malteses,1-1,2014/03/01
ACR Gatão,GCDR Estrelas da Paz,1-0,2014/03/01
Mancelos FC,GD Cepelos,3-2,2014/03/01
AD Lufrei,Gondar,5-2,2014/03/01
ADRC Estradinha,Padronelo,1-1,2014/03/01
UD Lomba,ACR Gatão,2-3,2014/03/08
Malteses,Freixo de Baixo,1-0,2014/03/08
GD Cepelos,AD Lufrei,3-1,2014/03/08
Gondar,ADRC Estradinha,1-1,2014/03/08
Padronelo,ACD Madalena,3-1,2014/03/08
GCDR Estrelas da Paz,Mancelos FC,2-4,2014/03/08
ACD Madalena,Gondar,1-2,2014/03/15
Freixo de Baixo,ARCA (Amarante),2-3,2014/03/15
ACR Gatão,Malteses,2-0,2014/03/15
Mancelos FC,UD Lomba,4-1,2014/03/15
AD Lufrei,GCDR Estrelas da Paz,4-1,2014/03/15
ADRC Estradinha,GD Cepelos,2-1,2014/03/15
UD Lomba,AD Lufrei,0-1,2014/03/22
ARCA (Amarante),ACR Gatão,2-1,2014/03/22
Malteses,Mancelos FC,1-1,2014/03/22
GCDR Estrelas da Paz,ADRC Estradinha,0-2,2014/03/22
GD Cepelos,ACD Madalena,2-3,2014/03/22
Gondar,Padronelo,2-4,2014/03/22
Mancelos FC,ARCA (Amarante),2-1,2014/04/05
ACR Gatão,Freixo de Baixo,4-1,2014/04/05
AD Lufrei,Malteses,2-1,2014/04/05
ADRC Estradinha,UD Lomba,1-3,2014/04/05
ACD Madalena,GCDR Estrelas da Paz,1-2,2014/04/05
Padronelo,GD Cepelos,1-0,2014/04/05
Malteses,ADRC Estradinha,1-1,2014/04/12
ARCA (Amarante),AD Lufrei,1-0,2014/04/12
UD Lomba,ACD Madalena,2-2,2014/04/12
GCDR Estrelas da Paz,Padronelo,0-3,2014/04/12
GD Cepelos,Gondar,4-3,2014/04/12
Freixo de Baixo,Mancelos FC,0-0,2014/04/12
AD Lufrei,Freixo de Baixo,2-3,2014/04/27
Mancelos FC,ACR Gatão,1-1,2014/04/27
ADRC Estradinha,ARCA (Amarante),1-5,2014/04/27
ACD Madalena,Malteses,0-0,2014/04/27
Padronelo,UD Lomba,3-1,2014/04/27
Gondar,GCDR Estrelas da Paz,5-1,2014/04/27
Freixo de Baixo,ADRC Estradinha,3-3,2014/05/04
ACR Gatão,AD Lufrei,0-4,2014/05/04
ARCA (Amarante),ACD Madalena,1-1,2014/05/04
Malteses,Padronelo,1-4,2014/05/04
UD Lomba,Gondar,7-1,2014/05/04
GCDR Estrelas da Paz,GD Cepelos,1-1,2014/05/04
ADRC Estradinha,ACR Gatão,0-3,2014/05/17
AD Lufrei,Mancelos FC,0-0,2014/05/17
ACD Madalena,Freixo de Baixo,1-0,2014/05/17
Padronelo,ARCA (Amarante),5-3,2014/05/17
GD Cepelos,UD Lomba,5-1,2014/05/17
Gondar,Malteses,1-1,2014/05/17
ACR Gatão,ACD Madalena,0-3,2014/05/24
Mancelos FC,ADRC Estradinha,1-2,2014/05/24
Freixo de Baixo,Padronelo,1-4,2014/05/24
ARCA (Amarante),Gondar,5-3,2014/05/24
Malteses,GD Cepelos,3-3,2014/05/24
UD Lomba,GCDR Estrelas da Paz,2-4,2014/05/24
