team_a,team_b,result,match_date
ADRC Estradinha,AD Vila Garcia,2-1,2017/10/21
Padronelo,Fridão,2-0,2017/10/21
ARCA (Amarante),UCD Moure,2-1,2017/10/21
Malteses,Mancelos FC,1-1,2017/10/21
Freixo de Baixo,GD Cepelos,0-2,2017/10/21
ACR Gatão,Gondar,3-2,2017/10/21
Fridão,ADRC Estradinha,2-4,2017/10/28
AD Lufrei,Padronelo,0-2,2017/10/28
GD Cepelos,ACR Gatão,0-0,2017/10/28
AD Vila Garcia,ARCA (Amarante),0-9,2017/10/28
UCD Moure,Malteses,1-0,2017/10/28
Mancelos FC,Freixo de Baixo,0-0,2017/10/28
ARCA (Amarante),Fridão,0-0,2017/11/04
ADRC Estradinha,AD Lufrei,2-0,2017/11/04
Malteses,AD Vila Garcia,0-0,2017/11/04
Freixo de Baixo,UCD Moure,0-1,2017/11/04
ACR Gatão,Mancelos FC,3-0,2017/11/04
Gondar,GD Cepelos,2-1,2017/11/04
AD Lufrei,ARCA (Amarante),3-2,2017/11/11
Padronelo,ADRC Estradinha,1-1,2017/11/11
Fridão,Malteses,0-0,2017/11/11
AD Vila Garcia,Freixo de Baixo,1-2,2017/11/11
UCD Moure,ACR Gatão,0-1,2017/11/11
Mancelos FC,Gondar,1-2,2017/11/11
ACR Gatão,AD Vila Garcia,2-0,2017/11/18
Malteses,AD Lufrei,1-1,2017/11/18
GD Cepelos,Mancelos FC,4-3,2017/11/18
ARCA (Amarante),Padronelo,2-0,2017/11/18
Freixo de Baixo,Fridão,2-1,2017/11/18
Gondar,UCD Moure,1-2,2017/11/18
Padronelo,Malteses,1-0,2017/11/25
ADRC Estradinha,ARCA (Amarante),0-0,2017/11/25
AD Lufrei,Freixo de Baixo,0-1,2017/11/25
Fridão,ACR Gatão,1-4,2017/11/25
AD Vila Garcia,Gondar,0-2,2017/11/25
UCD Moure,GD Cepelos,0-1,2017/11/25
Freixo de Baixo,Padronelo,1-3,2017/12/02
Malteses,ADRC Estradinha,2-3,2017/12/02
ACR Gatão,AD Lufrei,4-2,2017/12/02
Gondar,Fridão,3-0,2017/12/02
GD Cepelos,AD Vila Garcia,7-1,2017/12/02
Mancelos FC,UCD Moure,1-3,2017/12/02
Padronelo,ACR Gatão,0-1,2017/12/09
ADRC Estradinha,Freixo de Baixo,0-0,2017/12/09
Fridão,GD Cepelos,2-1,2017/12/09
AD Vila Garcia,Mancelos FC,1-5,2017/12/09
ARCA (Amarante),Malteses,3-2,2017/12/09
AD Lufrei,Gondar,3-3,2017/12/09
ACR Gatão,ADRC Estradinha,2-4,2017/12/16
Freixo de Baixo,ARCA (Amarante),1-0,2017/12/16
Gondar,Padronelo,0-3,2017/12/16
GD Cepelos,AD Lufrei,0-3,2017/12/16
Mancelos FC,Fridão,5-1,2017/12/16
UCD Moure,AD Vila Garcia,6-0,2017/12/16
ARCA (Amarante),ACR Gatão,0-0,2018/01/06
Malteses,Freixo de Baixo,0-3,2018/01/06
ADRC Estradinha,Gondar,3-2,2018/01/06
Padronelo,GD Cepelos,0-2,2018/01/06
AD Lufrei,Mancelos FC,2-3,2018/01/06
Fridão,UCD Moure,3-3,2018/01/06
Gondar,ARCA (Amarante),2-3,2018/01/14
ACR Gatão,Malteses,2-0,2018/01/14
GD Cepelos,ADRC Estradinha,4-1,2018/01/14
Mancelos FC,Padronelo,1-2,2018/01/14
AD Vila Garcia,Fridão,0-5,2018/01/14
UCD Moure,AD Lufrei,0-0,2018/01/14
Padronelo,UCD Moure,2-2,2018/01/21
ADRC Estradinha,Mancelos FC,3-0,2018/01/21
AD Lufrei,AD Vila Garcia,5-0,2018/01/21
