teamA,teamB,result,matchDate
ACD Madalena,ADRC Estradinha,0-0,2021/11/06
Mancelos FC,GDR Travanca,2-3,2021/11/06
Freixo de Baixo,AD Lufrei,4-2,2021/11/06
GCDR Estrelas da Paz,Padronelo,1-2,2021/11/06
ARCA (Amarante),GD Cepelos,0-1,2021/11/06
UCD Moure,AD Figueiró,2-2,2021/11/06
AD Figueiró,Mancelos FC,5-4,2021/11/13
ACR Gatão,UCD Moure,1-0,2021/11/13
GDR Travanca,ACD Madalena,1-0,2021/11/13
ADRC Estradinha,Freixo de Baixo,0-1,2021/11/13
AD Lufrei,GCDR Estrelas da Paz,0-0,2021/11/13
Padronelo,ARCA (Amarante),4-0,2021/11/13
ACD Madalena,AD Figueiró,3-3,2021/11/21
Mancelos FC,ACR Gatão,2-2,2021/11/21
Freixo de Baixo,GDR Travanca,2-0,2021/11/21
GCDR Estrelas da Paz,ADRC Estradinha,2-1,2021/11/21
ARCA (Amarante),AD Lufrei,2-0,2021/11/21
GD Cepelos,Padronelo,0-3,2021/11/21
ACR Gatão,ACD Madalena,2-0,2021/11/28
UCD Moure,Mancelos FC,1-1,2021/11/28
AD Figueiró,Freixo de Baixo,0-2,2021/11/28
GDR Travanca,GCDR Estrelas da Paz,2-0,2021/11/28
ADRC Estradinha,ARCA (Amarante),0-0,2021/11/28
AD Lufrei,GD Cepelos,2-4,2021/11/28
Freixo de Baixo,ACR Gatão,0-0,2021/12/04
ACD Madalena,UCD Moure,2-1,2021/12/04
GCDR Estrelas da Paz,AD Figueiró,1-3,2021/12/04
ARCA (Amarante),GDR Travanca,2-1,2021/12/04
GD Cepelos,ADRC Estradinha,2-1,2021/12/04
Padronelo,AD Lufrei,4-2,2021/12/04
UCD Moure,Freixo de Baixo,0-1,2021/12/11
Mancelos FC,ACD Madalena,4-0,2021/12/11
ACR Gatão,GCDR Estrelas da Paz,3-1,2021/12/11
AD Figueiró,ARCA (Amarante),3-1,2021/12/11
GDR Travanca,GD Cepelos,2-1,2021/12/11
ADRC Estradinha,Padronelo,1-2,2021/12/11
GCDR Estrelas da Paz,UCD Moure,4-1,2021/12/19
Freixo de Baixo,Mancelos FC,5-0,2021/12/19
ARCA (Amarante),ACR Gatão,2-4,2021/12/19
GD Cepelos,AD Figueiró,2-1,2021/12/19
Padronelo,GDR Travanca,1-2,2021/12/19
AD Lufrei,ADRC Estradinha,2-0,2021/12/19
Mancelos FC,GCDR Estrelas da Paz,1-1,2022/01/09
ACD Madalena,Freixo de Baixo,0-4,2022/01/09
UCD Moure,ARCA (Amarante),1-0,2022/01/09
ACR Gatão,GD Cepelos,3-2,2022/01/09
AD Figueiró,Padronelo,2-3,2022/01/09
GDR Travanca,AD Lufrei,5-1,2022/01/09
ARCA (Amarante),Mancelos FC,1-1,2022/01/15
GCDR Estrelas da Paz,ACD Madalena,0-1,2022/01/15
GD Cepelos,UCD Moure,0-0,2022/01/15
Padronelo,ACR Gatão,0-2,2022/01/15
AD Lufrei,AD Figueiró,1-1,2022/01/15
ADRC Estradinha,GDR Travanca,2-3,2022/01/15
ACD Madalena,ARCA (Amarante),0-1,2022/01/22
Freixo de Baixo,GCDR Estrelas da Paz,3-0,2022/01/22
Mancelos FC,GD Cepelos,1-2,2022/01/22
UCD Moure,Padronelo,1-4,2022/01/22
ACR Gatão,AD Lufrei,3-1,2022/01/22
AD Figueiró,ADRC Estradinha,3-1,2022/01/22
GD Cepelos,ACD Madalena,4-0,2022/01/29
ARCA (Amarante),Freixo de Baixo,0-2,2022/01/29
Padronelo,Mancelos FC,1-1,2022/01/29
AD Lufrei,UCD Moure,1-2,2022/01/29
ADRC Estradinha,ACR Gatão,1-4,2022/01/29
GDR Travanca,AD Figueiró,1-0,2022/01/29
Freixo de Baixo,GD Cepelos,1-1,2022/02/06
GCDR Estrelas da Paz,ARCA (Amarante),1-1,2022/02/06
ACD Madalena,Padronelo,1-3,2022/02/06
Mancelos FC,AD Lufrei,2-2,2022/02/06
UCD Moure,ADRC Estradinha,1-1,2022/02/06
ACR Gatão,GDR Travanca,1-0,2022/02/06
Padronelo,Freixo de Baixo,1-1,2022/02/13
GD Cepelos,GCDR Estrelas da Paz,1-2,2022/02/13
AD Lufrei,ACD Madalena,0-1,2022/02/13
ADRC Estradinha,Mancelos FC,1-2,2022/02/13
GDR Travanca,UCD Moure,6-2,2022/02/13
AD Figueiró,ACR Gatão,1-4,2022/02/13
GDR Travanca,Mancelos FC,2-0,2022/02/26
AD Figueiró,UCD Moure,3-0,2022/02/26
ADRC Estradinha,ACD Madalena,1-2,2022/02/26
AD Lufrei,Freixo de Baixo,0-2,2022/02/26
Padronelo,GCDR Estrelas da Paz,1-2,2022/02/26
GD Cepelos,ARCA (Amarante),1-2,2022/02/26
Mancelos FC,AD Figueiró,2-3,2022/03/05
UCD Moure,ACR Gatão,3-2,2022/03/05
ACD Madalena,GDR Travanca,0-3,2022/03/05
Freixo de Baixo,ADRC Estradinha,1-0,2022/03/05
GCDR Estrelas da Paz,AD Lufrei,2-0,2022/03/05
ARCA (Amarante),Padronelo,0-2,2022/03/05
GDR Travanca,Freixo de Baixo,3-1,2022/02/19
ACR Gatão,Mancelos FC,3-1,2022/02/19
AD Figueiró,ACD Madalena,2-1,2022/02/19
ADRC Estradinha,GCDR Estrelas da Paz,1-1,2022/02/19
AD Lufrei,ARCA (Amarante),3-4,2022/02/19
Padronelo,GD Cepelos,1-4,2022/02/19
ACD Madalena,ACR Gatão,1-3,2022/03/20
Mancelos FC,UCD Moure,2-0,2022/03/20
Freixo de Baixo,AD Figueiró,0-1,2022/03/20
GCDR Estrelas da Paz,GDR Travanca,1-3,2022/03/20
ARCA (Amarante),ADRC Estradinha,1-1,2022/03/20
GD Cepelos,AD Lufrei,2-0,2022/03/20
ACR Gatão,Freixo de Baixo,0-0,2022/03/26
UCD Moure,ACD Madalena,3-4,2022/03/26
AD Figueiró,GCDR Estrelas da Paz,3-0,2022/03/26
GDR Travanca,ARCA (Amarante),1-0,2022/03/26
ADRC Estradinha,GD Cepelos,2-5,2022/03/26
AD Lufrei,Padronelo,0-4,2022/03/26
Freixo de Baixo,UCD Moure,2-1,2022/04/02
ACD Madalena,Mancelos FC,2-4,2022/04/02
GCDR Estrelas da Paz,ACR Gatão,1-2,2022/04/02
ARCA (Amarante),AD Figueiró,2-0,2022/04/02
GD Cepelos,GDR Travanca,2-2,2022/04/02
Padronelo,ADRC Estradinha,1-2,2022/04/02
UCD Moure,GCDR Estrelas da Paz,1-0,2022/04/10
Mancelos FC,Freixo de Baixo,1-3,2022/04/10
ACR Gatão,ARCA (Amarante),2-1,2022/04/10
AD Figueiró,GD Cepelos,2-2,2022/04/10
GDR Travanca,Padronelo,1-1,2022/04/10
ADRC Estradinha,AD Lufrei,3-1,2022/04/10
GCDR Estrelas da Paz,Mancelos FC,3-1,2022/04/24
Freixo de Baixo,ACD Madalena,1-2,2022/04/24
ARCA (Amarante),UCD Moure,1-2,2022/04/24
GD Cepelos,ACR Gatão,1-0,2022/04/24
Padronelo,AD Figueiró,0-1,2022/04/24
AD Lufrei,GDR Travanca,1-4,2022/04/24
Mancelos FC,ARCA (Amarante),0-0,2022/04/30
ACD Madalena,GCDR Estrelas da Paz,1-2,2022/04/30
UCD Moure,GD Cepelos,0-0,2022/04/30
ACR Gatão,Padronelo,2-2,2022/04/30
AD Figueiró,AD Lufrei,3-2,2022/04/30
GDR Travanca,ADRC Estradinha,2-1,2022/04/30
ARCA (Amarante),ACD Madalena,1-2,2022/05/07
GCDR Estrelas da Paz,Freixo de Baixo,2-0,2022/05/07
GD Cepelos,Mancelos FC,3-2,2022/05/07
Padronelo,UCD Moure,1-1,2022/05/07
AD Lufrei,ACR Gatão,2-3,2022/05/07
ADRC Estradinha,AD Figueiró,2-3,2022/05/07
