team_a,team_b,result,match_date
Lomba SC Amarante,ADRC Estradinha,1-7,2017/01/21
UCD Moure,ACR Gatão,0-7,2017/01/21
Gondar,ACD Madalena,1-1,2017/01/21
ARCA (Amarante),Mancelos FC,2-3,2017/01/21
Freixo de Baixo,AD Vila Garcia,1-1,2017/01/21
Padronelo,GD Cepelos,2-3,2017/01/21
Mancelos FC,UCD Moure,1-1,2017/02/04
ACR Gatão,Gondar,4-2,2017/02/04
AD Vila Garcia,ARCA (Amarante),0-2,2017/02/04
ADRC Estradinha,Freixo de Baixo,2-0,2017/02/04
GD Cepelos,Lomba SC Amarante,3-3,2017/02/04
AD Lufrei,Padronelo,1-4,2017/02/04
AD Lufrei,Lomba SC Amarante,2-1,2017/02/12
GD Cepelos,Freixo de Baixo,2-0,2017/02/12
ADRC Estradinha,ARCA (Amarante),0-0,2017/02/12
AD Vila Garcia,UCD Moure,1-3,2017/02/12
Mancelos FC,Gondar,2-4,2017/02/12
ACR Gatão,ACD Madalena,1-1,2017/02/12
Freixo de Baixo,AD Lufrei,1-1,2017/02/25
Lomba SC Amarante,Padronelo,1-0,2017/02/25
ARCA (Amarante),GD Cepelos,0-2,2017/02/25
UCD Moure,ADRC Estradinha,1-1,2017/02/25
Gondar,AD Vila Garcia,0-1,2017/02/25
ACD Madalena,Mancelos FC,1-3,2017/02/25
AD Lufrei,ARCA (Amarante),2-1,2017/03/04
Padronelo,Freixo de Baixo,0-0,2017/03/04
GD Cepelos,UCD Moure,3-2,2017/03/04
ADRC Estradinha,Gondar,1-0,2017/03/04
AD Vila Garcia,ACD Madalena,1-1,2017/03/04
Mancelos FC,ACR Gatão,0-1,2017/03/04
ARCA (Amarante),Padronelo,3-2,2017/03/12
Freixo de Baixo,Lomba SC Amarante,3-1,2017/03/12
UCD Moure,AD Lufrei,2-2,2017/03/12
ACD Madalena,ADRC Estradinha,0-0,2017/03/12
ACR Gatão,AD Vila Garcia,0-1,2017/03/12
Gondar,GD Cepelos,1-1,2017/03/12
Lomba SC Amarante,ARCA (Amarante),1-3,2017/03/18
Padronelo,UCD Moure,1-0,2017/03/18
AD Lufrei,Gondar,4-5,2017/03/18
GD Cepelos,ACD Madalena,1-0,2017/03/18
ADRC Estradinha,ACR Gatão,2-2,2017/03/18
AD Vila Garcia,Mancelos FC,4-0,2017/03/18
UCD Moure,Lomba SC Amarante,1-1,2017/03/25
ARCA (Amarante),Freixo de Baixo,2-1,2017/03/25
Gondar,Padronelo,0-1,2017/03/25
ACD Madalena,AD Lufrei,3-1,2017/03/25
ACR Gatão,GD Cepelos,1-3,2017/03/25
Mancelos FC,ADRC Estradinha,1-4,2017/03/25
Lomba SC Amarante,Gondar,1-1,2017/04/01
Freixo de Baixo,UCD Moure,1-2,2017/04/01
Padronelo,ACD Madalena,2-1,2017/04/01
AD Lufrei,ACR Gatão,3-1,2017/04/01
GD Cepelos,Mancelos FC,0-3,2017/04/01
ADRC Estradinha,AD Vila Garcia,2-0,2017/04/01
Gondar,Freixo de Baixo,2-2,2017/04/09
UCD Moure,ARCA (Amarante),0-0,2017/04/09
ACD Madalena,Lomba SC Amarante,1-3,2017/04/09
ACR Gatão,Padronelo,0-1,2017/04/09
Mancelos FC,AD Lufrei,1-1,2017/04/09
AD Vila Garcia,GD Cepelos,2-1,2017/04/09
Freixo de Baixo,ACD Madalena,1-0,2017/04/22
ARCA (Amarante),Gondar,2-1,2017/04/22
Padronelo,Mancelos FC,1-1,2017/04/22
AD Lufrei,AD Vila Garcia,1-0,2017/04/22
GD Cepelos,ADRC Estradinha,1-3,2017/04/22
Lomba SC Amarante,ACR Gatão,3-2,2017/04/22
ACD Madalena,ARCA (Amarante),3-3,2017/04/29
Gondar,UCD Moure,1-2,2017/04/29
ACR Gatão,Freixo de Baixo,1-3,2017/04/29
AD Vila Garcia,Padronelo,1-1,2017/04/29
ADRC Estradinha,AD Lufrei,1-1,2017/04/29
Mancelos FC,Lomba SC Amarante,2-2,2017/04/29
ARCA (Amarante),ACR Gatão,4-2,2017/05/06
UCD Moure,ACD Madalena,1-0,2017/05/06
Freixo de Baixo,Mancelos FC,1-0,2017/05/06
Padronelo,ADRC Estradinha,2-2,2017/05/06
AD Lufrei,GD Cepelos,1-1,2017/05/06
Lomba SC Amarante,AD Vila Garcia,2-2,2017/05/06
ACR Gatão,UCD Moure,3-2,2017/05/14
ACD Madalena,Gondar,2-3,2017/05/14
Mancelos FC,ARCA (Amarante),2-1,2017/05/14
AD Vila Garcia,Freixo de Baixo,1-1,2017/05/14
GD Cepelos,Padronelo,3-1,2017/05/14
ADRC Estradinha,Lomba SC Amarante,4-0,2017/05/14
UCD Moure,Mancelos FC,2-0,2017/05/20
Gondar,ACR Gatão,3-1,2017/05/20
ARCA (Amarante),AD Vila Garcia,0-2,2017/05/20
Freixo de Baixo,ADRC Estradinha,3-3,2017/05/20
Lomba SC Amarante,GD Cepelos,2-1,2017/05/20
Padronelo,AD Lufrei,2-2,2017/05/20
