team_a,team_b,result,match_date
ARCA (Amarante),ADRC Estradinha,1-6,2016/10/22
Freixo de Baixo,GD Cepelos,1-3,2016/10/22
UCD Moure,AD Vila Garcia,0-1,2016/10/22
Gondar,Mancelos FC,3-1,2016/10/22
ACD Madalena,ACR Gatão,1-0,2016/10/22
Lomba SC Amarante,AD Lufrei,3-3,2016/10/22
ADRC Estradinha,UCD Moure,4-0,2016/10/29
AD Lufrei,Freixo de Baixo,0-1,2016/10/29
AD Vila Garcia,Gondar,1-1,2016/10/29
Mancelos FC,ACD Madalena,1-0,2016/10/29
Padronelo,Lomba SC Amarante,2-1,2016/10/29
GD Cepelos,ARCA (Amarante),1-2,2016/10/29
ARCA (Amarante),AD Lufrei,1-0,2016/11/06
Freixo de Baixo,Padronelo,2-2,2016/11/06
Gondar,ADRC Estradinha,1-5,2016/11/06
ACD Madalena,AD Vila Garcia,4-1,2016/11/06
ACR Gatão,Mancelos FC,4-2,2016/11/06
UCD Moure,GD Cepelos,3-2,2016/11/06
Padronelo,ARCA (Amarante),5-3,2016/11/13
Lomba SC Amarante,Freixo de Baixo,0-1,2016/11/13
AD Lufrei,UCD Moure,1-2,2016/11/13
GD Cepelos,Gondar,0-0,2016/11/13
ADRC Estradinha,ACD Madalena,1-0,2016/11/13
AD Vila Garcia,ACR Gatão,2-4,2016/11/13
UCD Moure,Padronelo,1-1,2016/11/19
ARCA (Amarante),Lomba SC Amarante,2-2,2016/11/19
Gondar,AD Lufrei,3-3,2016/11/19
ACD Madalena,GD Cepelos,1-3,2016/11/19
ACR Gatão,ADRC Estradinha,2-2,2016/11/19
Mancelos FC,AD Vila Garcia,1-0,2016/11/19
Lomba SC Amarante,UCD Moure,0-1,2016/11/26
Freixo de Baixo,ARCA (Amarante),4-2,2016/11/26
Padronelo,Gondar,3-3,2016/11/26
AD Lufrei,ACD Madalena,1-3,2016/11/26
GD Cepelos,ACR Gatão,3-2,2016/11/26
ADRC Estradinha,Mancelos FC,2-1,2016/11/26
Gondar,Lomba SC Amarante,2-1,2016/12/04
UCD Moure,Freixo de Baixo,0-1,2016/12/04
ACD Madalena,Padronelo,1-1,2016/12/04
ACR Gatão,AD Lufrei,5-0,2016/12/04
Mancelos FC,GD Cepelos,1-0,2016/12/04
AD Vila Garcia,ADRC Estradinha,0-1,2016/12/04
Padronelo,ACR Gatão,0-3,2016/12/10
Lomba SC Amarante,ACD Madalena,0-0,2016/12/10
AD Lufrei,Mancelos FC,1-0,2016/12/10
ARCA (Amarante),UCD Moure,0-4,2016/12/10
Freixo de Baixo,Gondar,2-2,2016/12/10
GD Cepelos,AD Vila Garcia,3-0,2016/12/10
ACD Madalena,Freixo de Baixo,0-5,2016/12/18
Gondar,ARCA (Amarante),2-1,2016/12/18
ACR Gatão,Lomba SC Amarante,2-1,2016/12/18
Mancelos FC,Padronelo,2-1,2016/12/18
AD Vila Garcia,AD Lufrei,1-3,2016/12/18
ADRC Estradinha,GD Cepelos,1-1,2016/12/18
ARCA (Amarante),ACD Madalena,1-1,2017/01/07
UCD Moure,Gondar,1-1,2017/01/07
Freixo de Baixo,ACR Gatão,0-0,2017/01/07
Lomba SC Amarante,Mancelos FC,2-1,2017/01/07
Padronelo,AD Vila Garcia,2-3,2017/01/07
AD Lufrei,ADRC Estradinha,2-3,2017/01/07
ACR Gatão,ARCA (Amarante),3-1,2017/01/14
ACD Madalena,UCD Moure,3-1,2017/01/14
Mancelos FC,Freixo de Baixo,1-0,2017/01/14
AD Vila Garcia,Lomba SC Amarante,0-2,2017/01/14
ADRC Estradinha,Padronelo,4-2,2017/01/14
GD Cepelos,AD Lufrei,1-0,2017/01/14
