team_a,team_b,result,match_date
ACR Gatão,Freixo de Baixo,6-1,2014/11/01
FC Murgido,Mancelos FC,2-3,2014/11/01
Malteses,Fridão,1-2,2014/11/01
Padronelo,ADRC Estradinha,5-1,2014/11/01
Gondar,ARCA (Amarante),0-2,2014/11/01
ACD Madalena,GD Cepelos,1-3,2014/11/01
Mancelos FC,ACR Gatão,4-1,2014/11/08
AD Lufrei,FC Murgido,2-1,2014/11/08
Freixo de Baixo,Malteses,0-1,2014/11/08
Fridão,Padronelo,4-4,2014/11/08
ADRC Estradinha,Gondar,3-3,2014/11/08
ARCA (Amarante),ACD Madalena,0-1,2014/11/08
Malteses,Mancelos FC,1-2,2014/11/16
ACR Gatão,AD Lufrei,4-1,2014/11/16
Padronelo,Freixo de Baixo,4-0,2014/11/16
Gondar,Fridão,4-2,2014/11/16
ACD Madalena,ADRC Estradinha,1-0,2014/11/16
GD Cepelos,ARCA (Amarante),2-1,2014/11/16
AD Lufrei,Malteses,3-1,2014/11/23
FC Murgido,ACR Gatão,0-2,2014/11/23
Mancelos FC,Padronelo,0-1,2014/11/23
Freixo de Baixo,Gondar,2-2,2014/11/23
Fridão,ACD Madalena,1-3,2014/11/23
ADRC Estradinha,GD Cepelos,1-2,2014/11/23
Padronelo,AD Lufrei,1-0,2014/11/29
Malteses,FC Murgido,2-0,2014/11/29
Gondar,Mancelos FC,1-2,2014/11/29
ACD Madalena,Freixo de Baixo,3-0,2014/11/29
GD Cepelos,Fridão,2-1,2014/11/29
ARCA (Amarante),ADRC Estradinha,0-1,2014/11/29
FC Murgido,Padronelo,4-7,2014/12/13
ACR Gatão,Malteses,1-0,2014/12/13
AD Lufrei,Gondar,2-2,2014/12/13
Mancelos FC,ACD Madalena,1-2,2014/12/13
Freixo de Baixo,GD Cepelos,3-4,2014/12/13
Fridão,ARCA (Amarante),3-4,2014/12/13
GD Cepelos,Mancelos FC,3-1,2014/12/20
Padronelo,ACR Gatão,3-1,2014/12/20
Gondar,FC Murgido,6-1,2014/12/20
ACD Madalena,AD Lufrei,2-1,2014/12/20
ARCA (Amarante),Freixo de Baixo,3-1,2014/12/20
ADRC Estradinha,Fridão,4-0,2014/12/20
ACR Gatão,Gondar,2-2,2014/12/28
Malteses,Padronelo,0-0,2014/12/28
FC Murgido,ACD Madalena,1-2,2014/12/28
AD Lufrei,GD Cepelos,2-0,2014/12/28
Mancelos FC,ARCA (Amarante),1-2,2014/12/28
Freixo de Baixo,ADRC Estradinha,2-2,2014/12/28
ACD Madalena,ACR Gatão,1-1,2015/01/03
Gondar,Malteses,3-1,2015/01/03
GD Cepelos,FC Murgido,4-2,2015/01/03
ARCA (Amarante),AD Lufrei,1-0,2015/01/03
ADRC Estradinha,Mancelos FC,1-2,2015/01/03
Fridão,Freixo de Baixo,3-2,2015/01/03
Malteses,ACD Madalena,1-2,2015/01/10
Padronelo,Gondar,5-5,2015/01/10
ACR Gatão,GD Cepelos,2-1,2015/01/10
FC Murgido,ARCA (Amarante),1-1,2015/01/10
AD Lufrei,ADRC Estradinha,1-2,2015/01/10
Mancelos FC,Fridão,3-3,2015/01/10
GD Cepelos,Malteses,4-3,2015/01/18
ACD Madalena,Padronelo,4-4,2015/01/18
ARCA (Amarante),ACR Gatão,3-1,2015/01/18
ADRC Estradinha,FC Murgido,2-1,2015/01/18
Fridão,AD Lufrei,2-1,2015/01/18
Freixo de Baixo,Mancelos FC,2-3,2015/01/18
Padronelo,GD Cepelos,2-4,2015/01/31
Gondar,ACD Madalena,0-3,2015/01/31
Malteses,ARCA (Amarante),0-0,2015/01/31
ACR Gatão,ADRC Estradinha,4-4,2015/01/31
FC Murgido,Fridão,4-1,2015/01/31
AD Lufrei,Freixo de Baixo,3-3,2015/01/31
ARCA (Amarante),Padronelo,1-4,2015/02/07
GD Cepelos,Gondar,5-1,2015/02/07
ADRC Estradinha,Malteses,2-2,2015/02/07
Fridão,ACR Gatão,3-3,2015/02/07
Freixo de Baixo,FC Murgido,5-1,2015/02/07
