team_a,team_b,result,match_date
Mancelos FC,AD Lufrei,2-0,2015/02/07
ADRC Estradinha,Padronelo,1-2,2015/03/08
Freixo de Baixo,ACR Gatão,2-1,2015/03/08
ARCA (Amarante),Gondar,3-0,2015/03/08
GD Cepelos,ACD Madalena,0-1,2015/03/08
Mancelos FC,FC Murgido,3-2,2015/03/08
Fridão,Malteses,2-2,2015/03/08
ACR Gatão,Mancelos FC,1-0,2015/03/14
FC Murgido,AD Lufrei,0-3,2015/03/14
Malteses,Freixo de Baixo,2-1,2015/03/14
Padronelo,Fridão,2-1,2015/03/14
Gondar,ADRC Estradinha,2-0,2015/03/14
ACD Madalena,ARCA (Amarante),0-1,2015/03/14
Mancelos FC,Malteses,1-1,2015/03/21
AD Lufrei,ACR Gatão,2-2,2015/03/21
Freixo de Baixo,Padronelo,0-2,2015/03/21
Fridão,Gondar,1-1,2015/03/21
ADRC Estradinha,ACD Madalena,2-2,2015/03/21
ARCA (Amarante),GD Cepelos,0-2,2015/03/21
Malteses,AD Lufrei,2-0,2015/03/29
ACR Gatão,FC Murgido,2-1,2015/03/29
Padronelo,Mancelos FC,2-1,2015/03/29
Gondar,Freixo de Baixo,1-1,2015/03/29
ACD Madalena,Fridão,3-1,2015/03/29
GD Cepelos,ADRC Estradinha,5-1,2015/03/29
AD Lufrei,Padronelo,0-0,2015/04/12
FC Murgido,Malteses,1-3,2015/04/12
Mancelos FC,Gondar,4-1,2015/04/12
Freixo de Baixo,ACD Madalena,1-0,2015/04/12
Fridão,GD Cepelos,2-4,2015/04/12
ADRC Estradinha,ARCA (Amarante),0-2,2015/04/12
Padronelo,FC Murgido,4-1,2015/04/18
Malteses,ACR Gatão,1-1,2015/04/18
Gondar,AD Lufrei,0-2,2015/04/18
ACD Madalena,Mancelos FC,3-1,2015/04/18
GD Cepelos,Freixo de Baixo,2-1,2015/04/18
ARCA (Amarante),Fridão,1-2,2015/04/18
FC Murgido,Gondar,2-3,2015/04/25
ACR Gatão,Padronelo,1-1,2015/04/25
AD Lufrei,ACD Madalena,2-1,2015/04/25
Mancelos FC,GD Cepelos,2-0,2015/04/25
Freixo de Baixo,ARCA (Amarante),1-1,2015/04/25
Fridão,ADRC Estradinha,2-3,2015/04/25
Gondar,ACR Gatão,3-2,2015/05/03
Padronelo,Malteses,2-1,2015/05/03
ACD Madalena,FC Murgido,2-1,2015/05/03
GD Cepelos,AD Lufrei,2-0,2015/05/03
ARCA (Amarante),Mancelos FC,1-1,2015/05/03
ADRC Estradinha,Freixo de Baixo,0-0,2015/05/03
ACR Gatão,ACD Madalena,1-2,2015/05/10
Malteses,Gondar,1-1,2015/05/10
FC Murgido,GD Cepelos,0-5,2015/05/10
AD Lufrei,ARCA (Amarante),1-2,2015/05/10
Mancelos FC,ADRC Estradinha,0-1,2015/05/10
Freixo de Baixo,Fridão,3-2,2015/05/10
ACD Madalena,Malteses,1-0,2015/05/16
Gondar,Padronelo,2-3,2015/05/16
GD Cepelos,ACR Gatão,0-1,2015/05/16
ARCA (Amarante),FC Murgido,6-1,2015/05/16
ADRC Estradinha,AD Lufrei,1-2,2015/05/16
Fridão,Mancelos FC,3-3,2015/05/16
Malteses,GD Cepelos,0-1,2015/05/31
Padronelo,ACD Madalena,1-0,2015/05/31
ACR Gatão,ARCA (Amarante),2-2,2015/05/31
FC Murgido,ADRC Estradinha,1-5,2015/05/31
AD Lufrei,Fridão,6-2,2015/05/31
Mancelos FC,Freixo de Baixo,4-0,2015/05/31
GD Cepelos,Padronelo,1-1,2015/06/10
ACD Madalena,Gondar,3-1,2015/06/10
ARCA (Amarante),Malteses,0-0,2015/06/10
ADRC Estradinha,ACR Gatão,1-4,2015/06/10
Fridão,FC Murgido,2-3,2015/06/10
Freixo de Baixo,AD Lufrei,1-0,2015/06/10
Padronelo,ARCA (Amarante),1-0,2015/06/13
Gondar,GD Cepelos,1-2,2015/06/13
Malteses,ADRC Estradinha,5-1,2015/06/13
ACR Gatão,Fridão,3-2,2015/06/13
FC Murgido,Freixo de Baixo,1-1,2015/06/13
AD Lufrei,Mancelos FC,4-2,2015/06/13
