team_a,team_b,result,match_date
ACR Gatão,GD Cepelos,2-1,202012/2/10/27
Gondar,AD Lufrei,1-2,202012/2/10/27
Freixo de Baixo,Malteses,1-0,202012/2/10/27
ACD Madalena,Padronelo,2-3,202012/2/10/27
ARCA (Amarante),Mancelos FC,1-1,202012/2/10/27
Aboadela FC,ACR Gatão,0-4,202012/2/11/03
GD Cepelos,Gondar,1-0,202012/2/11/03
AD Lufrei,Freixo de Baixo,2-0,202012/2/11/03
Malteses,ACD Madalena,0-1,202012/2/11/03
Padronelo,ARCA (Amarante),4-0,202012/2/11/03
Gondar,Aboadela FC,2-1,202012/2/11/11
ACR Gatão,ADRC Estradinha,1-3,202012/2/11/11
Freixo de Baixo,GD Cepelos,0-2,202012/2/11/11
ACD Madalena,AD Lufrei,2-2,202012/2/11/11
ARCA (Amarante),Malteses,0-1,202012/2/11/11
Mancelos FC,Padronelo,0-1,202012/2/11/11
ADRC Estradinha,Gondar,1-1,202012/2/11/18
Aboadela FC,Freixo de Baixo,1-0,202012/2/11/18
GD Cepelos,ACD Madalena,2-3,202012/2/11/18
AD Lufrei,ARCA (Amarante),1-2,202012/2/11/18
Malteses,Mancelos FC,0-2,202012/2/11/18
Freixo de Baixo,ADRC Estradinha,3-1,202012/2/11/24
ACD Madalena,Aboadela FC,2-1,202012/2/11/24
ARCA (Amarante),GD Cepelos,1-0,202012/2/11/24
Mancelos FC,AD Lufrei,2-1,202012/2/11/24
Padronelo,Malteses,3-2,202012/2/11/24
ACR Gatão,Gondar,4-1,202012/2/12/15
ADRC Estradinha,ACD Madalena,2-3,202012/2/12/15
Aboadela FC,ARCA (Amarante),2-2,202012/2/12/15
GD Cepelos,Mancelos FC,2-2,202012/2/12/15
AD Lufrei,Padronelo,1-3,202012/2/12/15
Padronelo,GD Cepelos,1-1,202012/2/12/22
Freixo de Baixo,ACR Gatão,2-2,202012/2/12/22
ARCA (Amarante),ADRC Estradinha,1-1,202012/2/12/22
Mancelos FC,Aboadela FC,3-1,202012/2/12/22
Malteses,AD Lufrei,1-2,202012/2/12/22
Aboadela FC,Padronelo,0-4,202012/2/12/29
Gondar,Freixo de Baixo,2-1,202012/2/12/29
ACR Gatão,ACD Madalena,3-2,202012/2/12/29
ADRC Estradinha,Mancelos FC,1-1,202012/2/12/29
GD Cepelos,Malteses,6-0,202012/2/12/29
ACD Madalena,Gondar,1-4,2013/01/05
ARCA (Amarante),ACR Gatão,1-1,2013/01/05
Padronelo,ADRC Estradinha,3-0,2013/01/05
Malteses,Aboadela FC,1-2,2013/01/05
AD Lufrei,GD Cepelos,2-1,2013/01/05
Freixo de Baixo,ACD Madalena,2-3,2013/01/12
Gondar,ARCA (Amarante),2-0,2013/01/12
ACR Gatão,Mancelos FC,1-0,2013/01/12
ADRC Estradinha,Malteses,1-1,2013/01/12
Aboadela FC,AD Lufrei,2-3,2013/01/12
GD Cepelos,Aboadela FC,6-0,2013/01/19
ARCA (Amarante),Freixo de Baixo,3-1,2013/01/19
Mancelos FC,Gondar,5-5,2013/01/19
Padronelo,ACR Gatão,2-2,2013/01/19
AD Lufrei,ADRC Estradinha,1-1,2013/01/19
ACD Madalena,ARCA (Amarante),1-1,2013/01/27
Freixo de Baixo,Mancelos FC,2-1,2013/01/27
Gondar,Padronelo,0-1,2013/01/27
ACR Gatão,Malteses,4-0,2013/01/27
ADRC Estradinha,GD Cepelos,0-3,2013/01/27
Mancelos FC,ACD Madalena,2-0,2013/02/02
Padronelo,Freixo de Baixo,3-0,2013/02/02
Malteses,Gondar,0-3,2013/02/02
AD Lufrei,ACR Gatão,1-2,2013/02/02
Aboadela FC,ADRC Estradinha,2-5,2013/02/02
GD Cepelos,ACR Gatão,2-1,2013/02/16
AD Lufrei,Gondar,1-1,2013/02/16
Malteses,Freixo de Baixo,1-2,2013/02/16
Padronelo,ACD Madalena,4-0,2013/02/16
Mancelos FC,ARCA (Amarante),2-1,2013/02/16
Gondar,GD Cepelos,1-1,2013/02/23
ACR Gatão,Aboadela FC,3-0,2013/02/23
Freixo de Baixo,AD Lufrei,1-2,2013/02/23
ACD Madalena,Malteses,3-1,2013/02/23
ARCA (Amarante),Padronelo,3-4,2013/02/23
GD Cepelos,Freixo de Baixo,2-2,2013/03/02
ADRC Estradinha,ACR Gatão,1-2,2013/03/02
Aboadela FC,Gondar,0-2,2013/03/02
AD Lufrei,ACD Madalena,3-2,2013/03/02
Malteses,ARCA (Amarante),0-3,2013/03/02
Padronelo,Mancelos FC,2-0,2013/03/02
ACD Madalena,GD Cepelos,2-3,2013/03/09
Gondar,ADRC Estradinha,1-1,2013/03/09
Freixo de Baixo,Aboadela FC,2-1,2013/03/09
ARCA (Amarante),AD Lufrei,2-2,2013/03/09
Mancelos FC,Malteses,1-2,2013/03/09
ADRC Estradinha,Freixo de Baixo,3-2,2013/03/16
Aboadela FC,ACD Madalena,0-2,2013/03/16
GD Cepelos,ARCA (Amarante),4-0,2013/03/16
AD Lufrei,Mancelos FC,1-0,2013/03/16
Malteses,Padronelo,0-3,2013/03/16
Gondar,ACR Gatão,3-3,2013/03/23
ACD Madalena,ADRC Estradinha,3-2,2013/03/23
ARCA (Amarante),Aboadela FC,2-3,2013/03/23
Mancelos FC,GD Cepelos,2-4,2013/03/23
Padronelo,AD Lufrei,2-1,2013/03/23
ACR Gatão,Freixo de Baixo,1-2,2013/04/07
ADRC Estradinha,ARCA (Amarante),1-2,2013/04/07
Aboadela FC,Mancelos FC,1-4,2013/04/07
GD Cepelos,Padronelo,3-1,2013/04/07
AD Lufrei,Malteses,2-0,2013/04/07
Freixo de Baixo,Gondar,1-2,2013/04/14
ACD Madalena,ACR Gatão,0-2,2013/04/14
Mancelos FC,ADRC Estradinha,4-3,2013/04/14
Padronelo,Aboadela FC,6-0,2013/04/14
Malteses,GD Cepelos,1-3,2013/04/14
Gondar,ACD Madalena,1-5,2013/04/20
ACR Gatão,ARCA (Amarante),5-0,2013/04/20
ADRC Estradinha,Padronelo,1-5,2013/04/20
Aboadela FC,Malteses,3-3,2013/04/20
GD Cepelos,AD Lufrei,2-1,2013/04/20
ACD Madalena,Freixo de Baixo,1-0,2013/04/27
ARCA (Amarante),Gondar,2-2,2013/04/27
Mancelos FC,ACR Gatão,0-1,2013/04/27
Malteses,ADRC Estradinha,4-2,2013/04/27
AD Lufrei,Aboadela FC,2-2,2013/04/27
Freixo de Baixo,ARCA (Amarante),5-2,2013/05/05
Gondar,Mancelos FC,1-1,2013/05/05
ACR Gatão,Padronelo,3-2,2013/05/05
ADRC Estradinha,AD Lufrei,0-1,2013/05/05
Aboadela FC,GD Cepelos,3-1,2013/05/05
ARCA (Amarante),ACD Madalena,2-1,2013/05/12
Mancelos FC,Freixo de Baixo,3-2,2013/05/12
Padronelo,Gondar,4-0,2013/05/12
Malteses,ACR Gatão,2-1,2013/05/12
GD Cepelos,ADRC Estradinha,3-1,2013/05/12
ACD Madalena,Mancelos FC,2-3,2013/05/18
Freixo de Baixo,Padronelo,0-2,2013/05/18
Gondar,Malteses,0-1,2013/05/18
ACR Gatão,AD Lufrei,1-1,2013/05/18
ADRC Estradinha,Aboadela FC,1-0,2013/05/18
