team_a,team_b,result,match_date
ACR Gatão,AD Lufrei,2-0,2012/04/01
GCDR Estrelas da Paz,ACD Madalena,0-6,2012/04/01
Aboadela FC,Malteses,2-1,2012/04/01
ADRC Estradinha,Freixo de Baixo,1-1,2012/04/01
AD Lufrei,Padronelo,1-5,2012/04/14
Gondar,AD Vilarinho,8-0,2012/04/14
Fridão,ACR Gatão,0-1,2012/04/14
Malteses,GCDR Estrelas da Paz,7-1,2012/04/14
Freixo de Baixo,Aboadela FC,1-0,2012/04/14
GD Cepelos,ADRC Estradinha,5-2,2012/04/14
AD Vilarinho,AD Lufrei,3-4,2012/04/21
Gondar,GD Cepelos,1-3,2012/04/21
Padronelo,Fridão,4-0,2012/04/21
ACR Gatão,ACD Madalena,2-1,2012/04/21
GCDR Estrelas da Paz,Freixo de Baixo,1-1,2012/04/21
Aboadela FC,ADRC Estradinha,2-2,2012/04/21
Fridão,AD Vilarinho,3-2,2012/04/29
AD Lufrei,Gondar,2-1,2012/04/29
ACD Madalena,Padronelo,1-3,2012/04/29
Malteses,ACR Gatão,1-3,2012/04/29
ADRC Estradinha,GCDR Estrelas da Paz,1-3,2012/04/29
GD Cepelos,Aboadela FC,3-1,2012/04/29
Gondar,Fridão,3-1,2012/05/06
AD Lufrei,GD Cepelos,2-0,2012/05/06
AD Vilarinho,ACD Madalena,3-2,2012/05/06
Padronelo,Malteses,8-0,2012/05/06
ACR Gatão,Freixo de Baixo,1-0,2012/05/06
GCDR Estrelas da Paz,Aboadela FC,4-2,2012/05/06
ACD Madalena,Gondar,0-1,2012/05/12
Fridão,AD Lufrei,2-4,2012/05/12
Freixo de Baixo,Padronelo,0-3,2012/05/12
ADRC Estradinha,ACR Gatão,1-4,2012/05/12
Malteses,AD Vilarinho,3-2,2012/05/12
GCDR Estrelas da Paz,GD Cepelos,1-0,2012/05/12
Padronelo,ADRC Estradinha,2-0,2012/05/09
AD Lufrei,ACD Madalena,1-2,2012/05/09
Gondar,Malteses,3-1,2012/05/09
AD Vilarinho,Freixo de Baixo,3-2,2012/05/09
ACR Gatão,Aboadela FC,4-0,2012/05/09
GD Cepelos,Fridão,6-3,2012/05/09
