team_a,team_b,result,match_date
Padronelo,Aboadela FC,6-0,202011/2/10/15
ACR Gatão,GCDR Estrelas da Paz,5-0,202011/2/10/15
AD Vilarinho,ADRC Estradinha,3-5,202011/2/10/15
Gondar,Freixo de Baixo,0-1,202011/2/10/15
Fridão,ACD Madalena,0-2,202011/2/10/15
AD Lufrei,Malteses,1-1,202011/2/10/15
Aboadela FC,AD Vilarinho,1-0,202011/2/10/22
GCDR Estrelas da Paz,Padronelo,1-4,202011/2/10/22
ADRC Estradinha,Gondar,4-2,202011/2/10/22
Freixo de Baixo,AD Lufrei,1-1,202011/2/10/22
Malteses,Fridão,3-1,202011/2/10/22
ACD Madalena,GD Cepelos,1-1,202011/2/10/22
AD Vilarinho,GCDR Estrelas da Paz,2-1,202011/2/10/30
GD Cepelos,ACR Gatão,2-2,202011/2/10/30
Gondar,Aboadela FC,0-1,202011/2/10/30
AD Lufrei,ADRC Estradinha,3-2,202011/2/10/30
Fridão,Freixo de Baixo,0-1,202011/2/10/30
ACD Madalena,Malteses,2-1,202011/2/10/30
GCDR Estrelas da Paz,Gondar,2-1,202011/2/11/06
ACR Gatão,Padronelo,2-1,202011/2/11/06
Aboadela FC,AD Lufrei,0-2,202011/2/11/06
ADRC Estradinha,Fridão,4-0,202011/2/11/06
Freixo de Baixo,ACD Madalena,3-1,202011/2/11/06
Malteses,GD Cepelos,0-4,202011/2/11/06
AD Vilarinho,ACR Gatão,0-3,202011/2/11/12
GD Cepelos,Padronelo,0-0,202011/2/11/12
AD Lufrei,GCDR Estrelas da Paz,4-1,202011/2/11/12
Fridão,Aboadela FC,2-2,202011/2/11/12
ACD Madalena,ADRC Estradinha,2-2,202011/2/11/12
Malteses,Freixo de Baixo,1-2,202011/2/11/12
ACR Gatão,Gondar,5-4,202011/2/11/19
Padronelo,AD Vilarinho,9-1,202011/2/11/19
GCDR Estrelas da Paz,Fridão,4-1,202011/2/11/19
Aboadela FC,ACD Madalena,0-2,202011/2/11/19
ADRC Estradinha,Malteses,2-0,202011/2/11/19
Freixo de Baixo,GD Cepelos,0-2,202011/2/11/19
Gondar,Padronelo,1-3,202011/2/11/27
GD Cepelos,AD Vilarinho,3-1,202011/2/11/27
AD Lufrei,ACR Gatão,1-0,202011/2/11/27
ACD Madalena,GCDR Estrelas da Paz,1-0,202011/2/11/27
Malteses,Aboadela FC,1-1,202011/2/11/27
Freixo de Baixo,ADRC Estradinha,0-0,202011/2/11/27
Padronelo,AD Lufrei,2-0,202011/2/12/11
AD Vilarinho,Gondar,4-4,202011/2/12/11
ACR Gatão,Fridão,6-1,202011/2/12/11
GCDR Estrelas da Paz,Malteses,0-3,202011/2/12/11
Aboadela FC,Freixo de Baixo,1-2,202011/2/12/11
ADRC Estradinha,GD Cepelos,0-0,202011/2/12/11
AD Lufrei,AD Vilarinho,3-2,202011/2/12/17
GD Cepelos,Gondar,3-0,202011/2/12/17
Fridão,Padronelo,2-3,202011/2/12/17
ACD Madalena,ACR Gatão,1-1,202011/2/12/17
Freixo de Baixo,GCDR Estrelas da Paz,2-2,202011/2/12/17
ADRC Estradinha,Aboadela FC,0-0,202011/2/12/17
AD Vilarinho,Fridão,3-0,2012/01/07
Gondar,AD Lufrei,0-2,2012/01/07
Padronelo,ACD Madalena,2-1,2012/01/07
ACR Gatão,Malteses,2-1,2012/01/07
GCDR Estrelas da Paz,ADRC Estradinha,1-2,2012/01/07
Aboadela FC,GD Cepelos,3-3,2012/01/07
GD Cepelos,AD Lufrei,3-2,2012/01/14
Fridão,Gondar,2-1,2012/01/14
ACD Madalena,AD Vilarinho,5-3,2012/01/14
Malteses,Padronelo,1-4,2012/01/14
Freixo de Baixo,ACR Gatão,0-3,2012/01/14
Aboadela FC,GCDR Estrelas da Paz,3-0,2012/01/14
Gondar,ACD Madalena,2-3,2012/01/22
AD Lufrei,Fridão,6-4,2012/01/22
AD Vilarinho,Malteses,2-0,2012/01/22
Padronelo,Freixo de Baixo,0-0,2012/01/22
ACR Gatão,ADRC Estradinha,3-0,2012/01/22
GD Cepelos,GCDR Estrelas da Paz,7-1,2012/01/22
ACD Madalena,AD Lufrei,3-0,2012/01/28
Fridão,GD Cepelos,1-3,2012/01/28
Malteses,Gondar,2-3,2012/01/28
Freixo de Baixo,AD Vilarinho,1-0,2012/01/28
ADRC Estradinha,Padronelo,0-2,2012/01/28
Aboadela FC,ACR Gatão,0-2,2012/01/28
Aboadela FC,Padronelo,2-4,2012/02/11
GCDR Estrelas da Paz,ACR Gatão,0-2,2012/02/11
ADRC Estradinha,AD Vilarinho,7-1,2012/02/11
Freixo de Baixo,Gondar,1-2,2012/02/11
Malteses,AD Lufrei,1-1,2012/02/11
ACD Madalena,Fridão,3-0,2012/02/11
AD Vilarinho,Aboadela FC,6-3,2012/02/19
Padronelo,GCDR Estrelas da Paz,10-1,2012/02/19
Gondar,ADRC Estradinha,0-0,2012/02/19
AD Lufrei,Freixo de Baixo,1-2,2012/02/19
Fridão,Malteses,1-2,2012/02/19
GD Cepelos,ACD Madalena,5-1,2012/02/19
GCDR Estrelas da Paz,AD Vilarinho,1-2,2012/02/26
ACR Gatão,GD Cepelos,0-0,2012/02/26
Aboadela FC,Gondar,0-1,2012/02/26
ADRC Estradinha,AD Lufrei,2-3,2012/02/26
Freixo de Baixo,Fridão,5-1,2012/02/26
Malteses,ACD Madalena,1-3,2012/02/26
Fridão,ADRC Estradinha,1-2,2012/03/03
AD Lufrei,Aboadela FC,1-0,2012/03/03
ACD Madalena,Freixo de Baixo,6-1,2012/03/03
GD Cepelos,Malteses,2-0,2012/03/03
Padronelo,ACR Gatão,1-2,2012/03/03
Gondar,GCDR Estrelas da Paz,5-0,2012/03/03
ACR Gatão,AD Vilarinho,8-2,2012/03/10
Padronelo,GD Cepelos,1-0,2012/03/10
GCDR Estrelas da Paz,AD Lufrei,1-2,2012/03/10
Aboadela FC,Fridão,0-0,2012/03/10
ADRC Estradinha,ACD Madalena,0-4,2012/03/10
Freixo de Baixo,Malteses,1-0,2012/03/10
GD Cepelos,Freixo de Baixo,1-0,2012/03/17
AD Vilarinho,Padronelo,3-4,2012/03/17
Gondar,ACR Gatão,1-2,2012/03/17
Fridão,GCDR Estrelas da Paz,3-0,2012/03/17
ACD Madalena,Aboadela FC,3-1,2012/03/17
Malteses,ADRC Estradinha,0-5,2012/03/17
Padronelo,Gondar,1-0,2012/04/01
AD Vilarinho,GD Cepelos,2-5,2012/04/01
